"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 00:49:04 GMT 2024","Fri Jan 19 00:49:07 GMT 2024","2335","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"passed","Fri Jan 19 00:48:08 GMT 2024","Fri Jan 19 00:48:14 GMT 2024","5516","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Fri Jan 19 00:48:44 GMT 2024","Fri Jan 19 00:48:46 GMT 2024","1728","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"failed","Fri Jan 19 00:48:32 GMT 2024","Fri Jan 19 00:48:32 GMT 2024","477","","","","","","Validate Council Output [FenlandDistrictCouncil-None-None]",""
"passed","Fri Jan 19 00:48:08 GMT 2024","Fri Jan 19 00:48:09 GMT 2024","1124","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"passed","Fri Jan 19 00:51:10 GMT 2024","Fri Jan 19 00:51:20 GMT 2024","9784","","","","","","Validate Council Output [TestValleyBoroughCouncil-None-None]",""
"failed","Fri Jan 19 00:48:51 GMT 2024","Fri Jan 19 00:48:51 GMT 2024","168","","","","","","Validate Council Output [NorthumberlandCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:32 GMT 2024","Fri Jan 19 00:48:34 GMT 2024","1141","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Fri Jan 19 00:48:15 GMT 2024","Fri Jan 19 00:48:16 GMT 2024","1644","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"failed","Fri Jan 19 00:48:46 GMT 2024","Fri Jan 19 00:48:46 GMT 2024","187","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:49:16 GMT 2024","Fri Jan 19 00:49:19 GMT 2024","2919","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:18 GMT 2024","Fri Jan 19 00:48:19 GMT 2024","961","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"failed","Fri Jan 19 00:48:19 GMT 2024","Fri Jan 19 00:48:19 GMT 2024","162","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:26 GMT 2024","Fri Jan 19 00:48:26 GMT 2024","3","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:14 GMT 2024","Fri Jan 19 00:48:15 GMT 2024","434","","","","","","Validate Council Output [BarnetCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:17 GMT 2024","Fri Jan 19 00:48:18 GMT 2024","781","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"failed","Fri Jan 19 00:48:56 GMT 2024","Fri Jan 19 00:48:57 GMT 2024","166","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:15 GMT 2024","Fri Jan 19 00:48:16 GMT 2024","1358","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
